Plagdet Score,Recall,Precision,Granularity,epsilon,min_samples
0.007582226471430382,0.006169396582618732,0.1760644361668013,1.9736585365853658,0.1,4
0.036109401954690964,0.0483990416508569,0.113646798095674,2.68083820269998,0.01,4
0.056640572637069966,0.35155224328889034,0.08196618044347603,4.087771770389969,0.001,4
0.02767800453173305,0.025604086732030257,0.15559848301920487,2.0078095946448493,0.1,10
0.052281145681997,0.10960313184258379,0.10353954102776865,3.103281073218038,0.01,10
0.05860379761027125,0.5150497892436564,0.07163864611632184,3.426953329837441,0.001,10
0.10244598845880397,0.2714825352613757,0.11347638849293025,1.9532694848084544,0.1,100
0.06475394977656534,0.43488819287716673,0.08543545614487408,3.612325174825175,0.01,100
0.054469726598663754,0.8722332833650175,0.03548057273786884,1.3814509404243491,0.001,100
0.10433183188985364,0.7527049281626891,0.07583262960077969,1.497755163124813,0.1,1000
0.08210361420258916,0.9279318007283701,0.050786816815903316,1.254711802378774,0.01,1000
0.11182828945550022,0.9506576827822105,0.05940832093318418,1.0,0.001,1000
